ticker,month,first_close,last_close,monthly_return_%
INDUSINDBK,2024-01,1598.85,1534.05,-4.05
INDUSINDBK,2024-02,1541.15,1474.9,-4.3
INDUSINDBK,2024-03,1526.65,1553.0,1.73
INDUSINDBK,2024-04,1542.4,1515.7,-1.73
INDUSINDBK,2024-05,1505.2,1461.85,-2.88
INDUSINDBK,2024-06,1529.7,1464.5,-4.26
INDUSINDBK,2024-07,1456.9,1427.8,-2.0
INDUSINDBK,2024-08,1419.85,1425.25,0.38
INDUSINDBK,2024-09,1449.05,1447.6,-0.1
INDUSINDBK,2024-10,1409.7,1055.6,-25.12
INDUSINDBK,2024-11,1062.5,998.2,-6.05
INFY,2023-10,1434.0,1368.4,-4.57
INFY,2023-11,1354.15,1455.15,7.46
INFY,2023-12,1452.3,1542.9,6.24
INFY,2024-01,1551.35,1660.9,7.06
INFY,2024-02,1657.05,1673.9,1.02
INFY,2024-03,1654.7,1498.05,-9.47
INFY,2024-04,1495.45,1420.55,-5.01
INFY,2024-05,1414.45,1406.9,-0.53
INFY,2024-06,1405.9,1566.75,11.44
INFY,2024-07,1590.8,1868.25,17.44
INFY,2024-08,1852.6,1943.7,4.92
INFY,2024-09,1964.5,1875.6,-4.53
INFY,2024-10,1904.35,1757.25,-7.72
INFY,2024-11,1760.85,1902.25,8.03
ITC,2023-10,439.75,428.4,-2.58
ITC,2023-11,428.1,435.8,1.8
ITC,2023-12,449.8,462.1,2.73
ITC,2024-01,468.05,441.55,-5.66
ITC,2024-02,442.9,406.3,-8.26
ITC,2024-03,409.5,428.35,4.6
ITC,2024-04,426.7,435.65,2.1
ITC,2024-05,439.0,426.45,-2.86
ITC,2024-06,430.35,424.9,-1.27
ITC,2024-07,429.05,495.35,15.45
ITC,2024-08,493.7,501.9,1.66
ITC,2024-09,510.05,518.15,1.59
ITC,2024-10,516.2,488.8,-5.31
ITC,2024-11,490.3,474.65,-3.19
JSWSTEEL,2023-10,770.25,736.35,-4.4
JSWSTEEL,2023-11,724.45,801.1,10.58
JSWSTEEL,2023-12,810.8,880.25,8.57
JSWSTEEL,2024-01,877.6,818.65,-6.72
JSWSTEEL,2024-02,801.7,800.1,-0.2
JSWSTEEL,2024-03,836.2,830.2,-0.72
JSWSTEEL,2024-04,871.95,882.2,1.18
JSWSTEEL,2024-05,890.35,880.55,-1.1
JSWSTEEL,2024-06,915.3,931.5,1.77
JSWSTEEL,2024-07,943.9,928.25,-1.66
JSWSTEEL,2024-08,934.55,941.1,0.7
JSWSTEEL,2024-09,940.45,1030.05,9.53
JSWSTEEL,2024-10,1027.3,963.65,-6.2
JSWSTEEL,2024-11,968.3,977.35,0.93
KOTAKBANK,2023-10,1727.05,1739.4,0.72
KOTAKBANK,2023-11,1724.4,1755.45,1.8
KOTAKBANK,2023-12,1750.5,1908.1,9.0
KOTAKBANK,2024-01,1909.15,1825.25,-4.39
KOTAKBANK,2024-02,1822.75,1689.45,-7.31
KOTAKBANK,2024-03,1727.7,1785.5,3.35
KOTAKBANK,2024-04,1790.7,1623.95,-9.31
KOTAKBANK,2024-05,1575.65,1680.4,6.65
KOTAKBANK,2024-06,1718.05,1802.5,4.92
KOTAKBANK,2024-07,1808.1,1807.9,-0.01
KOTAKBANK,2024-08,1792.65,1780.8,-0.66
KOTAKBANK,2024-09,1780.25,1853.95,4.14
KOTAKBANK,2024-10,1879.4,1731.1,-7.89
KOTAKBANK,2024-11,1744.4,1761.45,0.98
LT,2023-10,3073.25,2929.05,-4.69
LT,2023-11,2895.3,3109.2,7.39
LT,2023-12,3190.65,3526.0,10.51
LT,2024-01,3525.45,3479.75,-1.3
LT,2024-02,3398.0,3477.55,2.34
LT,2024-03,3633.5,3763.9,3.59
LT,2024-04,3838.0,3594.3,-6.35
LT,2024-05,3599.5,3669.3,1.94
LT,2024-06,3897.15,3548.45,-8.95
LT,2024-07,3526.55,3815.0,8.18
LT,2024-08,3779.3,3704.65,-1.98
LT,2024-09,3683.1,3675.55,-0.2
LT,2024-10,3653.5,3622.3,-0.85
LT,2024-11,3626.35,3603.5,-0.63
M&M,2023-10,1537.4,1458.6,-5.13
M&M,2023-11,1454.6,1647.75,13.28
M&M,2023-12,1625.5,1729.4,6.39
M&M,2024-01,1703.3,1651.55,-3.04
M&M,2024-02,1651.15,1932.4,17.03
M&M,2024-03,1972.95,1921.35,-2.62
M&M,2024-04,1915.95,2156.35,12.55
M&M,2024-05,2185.15,2506.25,14.69
M&M,2024-06,2634.0,2866.65,8.83
M&M,2024-07,2875.85,2907.8,1.11
M&M,2024-08,2828.4,2805.4,-0.81
M&M,2024-09,2777.0,3094.9,11.45
M&M,2024-10,3165.5,2728.55,-13.8
M&M,2024-11,2817.65,3012.95,6.93
MARUTI,2023-10,10346.9,10392.3,0.44
MARUTI,2023-11,10227.8,10608.7,3.72
MARUTI,2023-12,10585.7,10302.3,-2.68
MARUTI,2024-01,10283.3,10186.9,-0.94
MARUTI,2024-02,10638.0,11288.35,6.11
MARUTI,2024-03,11620.95,12600.35,8.43
MARUTI,2024-04,12569.6,12817.5,1.97
